features,category,location,ranking
EmisOC_Anthro,emission,W,16.0
EmisOC_Anthro,emission,N,24.0
EmisOC_BioBurn,emission,E,25.0
EmisOC_BioBurn,emission,S,9.0
EmisOC_BioBurn,emission,W,8.0
EmisOC_BioBurn,emission,N,7.0
EmisSO2_Aircraft,emission,E,10.0
EmisSO2_Aircraft,emission,S,17.0
EmisSO2_Aircraft,emission,W,19.0
EmisSO2_Aircraft,emission,N,18.0
EmisSO2_Anthro,emission,E,4.0
EmisSO2_Anthro,emission,S,10.0
EmisSO2_Anthro,emission,W,6.0
EmisSO2_Anthro,emission,N,12.0
EmisSO2_BioBurn,emission,E,33.0
EmisSO2_BioBurn,emission,S,4.0
EmisSO2_BioBurn,emission,W,13.0
EmisSO2_BioBurn,emission,N,3.0
EmisSO4_Anthro,emission,E,3.0
EmisSO4_Anthro,emission,S,6.0
EmisSO4_Anthro,emission,W,9.0
EmisSO4_Anthro,emission,N,13.0
T2M,met,E,24.0
T2M,met,S,25.0
T2M,met,W,32.0
T2M,met,N,35.0
PBLH,met,E,20.0
PBLH,met,S,30.0
PBLH,met,W,35.0
PBLH,met,N,32.0
U10M,met,E,16.0
U10M,met,S,35.0
U10M,met,W,23.0
U10M,met,N,25.0
V10M,met,E,18.0
V10M,met,S,14.0
V10M,met,W,14.0
V10M,met,N,22.0
PRECTOT,met,E,32.0
PRECTOT,met,S,11.0
PRECTOT,met,W,15.0
PRECTOT,met,N,21.0
RH,met,E,23.0
RH,met,S,21.0
RH,met,W,24.0
RH,met,N,23.0
CO_trop,gas,E,27.0
CO_trop,gas,S,34.0
CO_trop,gas,W,37.0
CO_trop,gas,N,36.0
SO2_trop,gas,E,36.0
SO2_trop,gas,S,36.0
SO2_trop,gas,W,31.0
SO2_trop,gas,N,34.0
NO2_trop,gas,E,34.0
NO2_trop,gas,S,27.0
NO2_trop,gas,W,33.0
NO2_trop,gas,N,26.0
CH2O_trop,gas,E,28.0
CH2O_trop,gas,S,19.0
CH2O_trop,gas,W,17.0
CH2O_trop,gas,N,27.0
NH3_trop,gas,E,31.0
NH3_trop,gas,S,12.0
NH3_trop,gas,W,34.0
NH3_trop,gas,N,30.0
EmisDST_Natural,emission,W,1.0
AOT_C,aod,C,35.0
AOT_DUST_C,aod,C,30.0
EmisDST_Natural,emission,C,1.0
EmisNO_Fert,emission,C,8.0
EmisNO_Lightning,emission,C,29.0
EmisNO_Ship,emission,C,4.0
EmisNO_Soil,emission,C,3.0
EmisBC_Anthro,emission,C,10.0
EmisBC_BioBurn,emission,C,19.0
EmisCH2O_Anthro,emission,C,12.0
EmisCH2O_BioBurn,emission,C,21.0
EmisCO_Anthro,emission,C,6.0
EmisCO_BioBurn,emission,C,25.0
EmisCO_Ship,emission,C,2.0
EmisNH3_Anthro,emission,C,9.0
EmisNH3_BioBurn,emission,C,17.0
EmisNH3_Natural,emission,C,28.0
EmisNO_Aircraft,emission,C,16.0
EmisNO_Anthro,emission,C,11.0
EmisNO_BioBurn,emission,C,7.0
EmisOC_Anthro,emission,C,24.0
EmisOC_BioBurn,emission,C,13.0
EmisSO2_Aircraft,emission,C,14.0
EmisSO2_Anthro,emission,C,5.0
EmisSO2_BioBurn,emission,C,22.0
EmisSO4_Anthro,emission,C,15.0
T2M,met,C,34.0
PBLH,met,C,31.0
U10M,met,C,20.0
V10M,met,C,18.0
PRECTOT,met,C,27.0
RH,met,C,23.0
CO_trop,gas,C,37.0
SO2_trop,gas,C,36.0
NO2_trop,gas,C,32.0
CH2O_trop,gas,C,26.0
NH3_trop,gas,C,33.0
CH2O_trop,gas,A,33.0
SO2_trop,gas,A,37.0
NH3_trop,gas,A,32.0
PRECTOT,met,A,14.0
EmisOC_Anthro,emission,A,23.0
EmisNO_Aircraft,emission,A,8.0
CO_trop,gas,A,35.0
NO2_trop,gas,A,36.0
T2M,met,A,30.0
EmisSO4_Anthro,emission,A,10.0
U10M,met,A,18.0
V10M,met,A,7.0
EmisBC_Anthro,emission,A,15.0
EmisSO2_Aircraft,emission,A,5.0
EmisSO2_Anthro,emission,A,3.0
EmisDST_Natural,emission,A,1.0
EmisBC_BioBurn,emission,A,25.0
EmisNO_Ship,emission,A,22.0
EmisNO_BioBurn,emission,A,20.0
EmisCH2O_BioBurn,emission,A,29.0
EmisCO_Ship,emission,A,12.0
AOT_DUST_C,aod,A,31.0
EmisNO_Fert,emission,A,6.0
RH,met,A,13.0
EmisNO_Soil,emission,A,9.0
EmisNO_Lightning,emission,A,17.0
EmisNO_Anthro,emission,A,2.0
EmisSO2_BioBurn,emission,A,27.0
EmisNH3_BioBurn,emission,A,28.0
EmisNH3_Anthro,emission,A,11.0
PBLH,met,A,26.0
EmisCO_BioBurn,emission,A,24.0
EmisCH2O_Anthro,emission,A,4.0
EmisNH3_Natural,emission,A,19.0
EmisCO_Anthro,emission,A,16.0
AOT_C,aod,A,34.0
EmisOC_BioBurn,emission,A,21.0
