features,category,location,ranking
EmisOC_BioBurn,emission,C,2.0
EmisSO2_Aircraft,emission,C,9.0
EmisSO2_Anthro,emission,C,7.0
EmisSO2_BioBurn,emission,C,6.0
EmisSO4_Anthro,emission,C,5.0
T2M,met,C,30.0
PBLH,met,C,31.0
U10M,met,C,24.0
V10M,met,C,23.0
PRECTOT,met,C,29.0
RH,met,C,26.0
EmisNO_Soil,emission,A,29.0
T2M,met,A,27.0
EmisCH2O_Anthro,emission,A,24.0
PBLH,met,A,18.0
EmisNO_Aircraft,emission,A,4.0
PRECTOT,met,A,12.0
EmisNO_Lightning,emission,A,9.0
EmisSO4_Anthro,emission,A,1.0
EmisNO_Fert,emission,A,8.0
U10M,met,A,16.0
EmisCH2O_BioBurn,emission,A,23.0
EmisSO2_Aircraft,emission,A,3.0
EmisNO_Anthro,emission,A,5.0
EmisSO2_Anthro,emission,A,15.0
EmisCO_Anthro,emission,A,30.0
EmisSO2_BioBurn,emission,A,22.0
EmisNO_BioBurn,emission,A,6.0
V10M,met,A,7.0
EmisNO_Ship,emission,A,14.0
EmisDST_Natural,emission,A,2.0
EmisCO_BioBurn,emission,A,19.0
AOT_DUST_C,aod,A,28.0
RH,met,A,10.0
EmisNH3_Natural,emission,A,20.0
EmisBC_Anthro,emission,A,26.0
EmisNH3_BioBurn,emission,A,21.0
EmisBC_BioBurn,emission,A,13.0
EmisCO_Ship,emission,A,25.0
EmisOC_Anthro,emission,A,32.0
EmisOC_BioBurn,emission,A,17.0
EmisNH3_Anthro,emission,A,11.0
AOT_C,aod,A,31.0
