features,category,location,ranking
EmisNH3_Anthro,emission,C,20.0
EmisNH3_BioBurn,emission,C,15.0
EmisNH3_Natural,emission,C,31.0
EmisNO_Aircraft,emission,C,19.0
EmisNO_Anthro,emission,C,14.0
EmisNO_BioBurn,emission,C,10.0
EmisOC_Anthro,emission,C,23.0
EmisOC_BioBurn,emission,C,18.0
EmisSO2_Aircraft,emission,C,13.0
EmisSO2_Anthro,emission,C,7.0
EmisSO2_BioBurn,emission,C,5.0
EmisSO4_Anthro,emission,C,4.0
T2M,met,C,32.0
PBLH,met,C,30.0
U10M,met,C,24.0
V10M,met,C,17.0
PRECTOT,met,C,21.0
RH,met,C,27.0
CO_trop,gas,C,34.0
SO2_trop,gas,C,35.0
NO2_trop,gas,C,29.0
CH2O_trop,gas,C,26.0
NH3_trop,gas,C,33.0
CO_trop,gas,A,35.0
CH2O_trop,gas,A,32.0
NH3_trop,gas,A,30.0
PRECTOT,met,A,15.0
EmisNH3_Natural,emission,A,21.0
RH,met,A,14.0
EmisNO_Lightning,emission,A,16.0
PBLH,met,A,24.0
EmisCH2O_Anthro,emission,A,7.0
NO2_trop,gas,A,33.0
EmisBC_Anthro,emission,A,3.0
EmisSO4_Anthro,emission,A,9.0
U10M,met,A,17.0
EmisNO_Anthro,emission,A,2.0
V10M,met,A,5.0
EmisCO_Anthro,emission,A,20.0
EmisBC_BioBurn,emission,A,25.0
EmisSO2_BioBurn,emission,A,29.0
EmisOC_BioBurn,emission,A,23.0
EmisSO2_Aircraft,emission,A,4.0
EmisCO_BioBurn,emission,A,19.0
EmisNO_Ship,emission,A,27.0
EmisCH2O_BioBurn,emission,A,22.0
EmisNO_Soil,emission,A,6.0
EmisOC_Anthro,emission,A,26.0
EmisSO2_Anthro,emission,A,1.0
EmisNO_Aircraft,emission,A,8.0
EmisCO_Ship,emission,A,28.0
EmisNO_BioBurn,emission,A,13.0
EmisNO_Fert,emission,A,11.0
EmisNH3_BioBurn,emission,A,18.0
SO2_trop,gas,A,34.0
T2M,met,A,31.0
EmisDST_Natural,emission,A,12.0
EmisNH3_Anthro,emission,A,10.0
